ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,TARGET
A1,0.0045130000000000005,0.59322,0.050671,1.0854,-233.82,0.00903,0.008017,0.62108,1.0181,0.36844,0.008017,0.013513999999999998,0.050148000000000005,0.008017,5500.8,0.066355,1.6857,0.008017,0.010214,245.86,>100%,0.036506,0.00575,0.015165999999999999,0.36844,0.060448,0.47352,0.14229,5.0591,0.74144,0.010214,280.86,1.2996,0.061538999999999996,0.036506,0.8348899999999999,,0.36844,0.046508,0.022862,0.28744000000000003,0.046508,above 240 days,47.247,0.008536,0.19414,250.32,0.0051600000000000005,0.006573999999999999,1.0854,0.59322,0.76947,1.0346,1.0346,above 2000,0.017824,0.01225,0.98218,0.0,1.4846,7.7253,275.85,1.3232,2.2043,0
A3,0.009384,0.21804,0.52845,3.4236,31.311999999999998,-0.2135,0.00953,3.4998,0.99865,0.76312,0.00953,0.043709,0.018128,0.00953,1907.4,0.19136,4.5863,0.00953,0.004141,50.551,>100%,0.003118,0.004077,-0.20878000000000002,0.76312,0.19069,0.013529,2.0845,4.041,0.045065,0.004141,34.53,10.57,0.014301,0.003118,2.3243,,0.76312,0.001355,0.57933,0.203,0.001355,60-120 days,47.795,0.029437,1.9616,50.483000000000004,-0.029077,-0.012633,3.4236,0.21804,0.09460299999999999,3.0102,3.0102,above 2000,-0.001349,0.012297,1.0013,0.0,7.2205,7.6368,34.577,10.556,9.0793,0
A4,-0.029314,0.8958200000000001,0.024423,1.0459,-74.655,0.0,-0.034399,0.11629,1.2632,0.10418,0.043386,-0.064661,0.011436,-0.034399,22635.0,0.016125999999999998,1.1163,-0.034399,-0.027232,74.69,>100%,0.043386,-0.023206,0.088491,0.10082,0.021800999999999997,0.55776,0.055059000000000004,4.9213,0.68403,-0.003435,159.46,2.289,1.3593,0.045474,1.2632,0.8321299999999999,0.4622,0.035999,0.07534,0.32376,0.034345999999999995,120-240 days,74.503,-0.11341,0.56002,77.479,-0.005459,-0.004322,0.62112,0.53199,0.43687,0.23485,1.042,above 2000,0.035999,-0.2814,1.0272,3.4367,4.8869,4.8991,153.72,2.3745,2.8477,0
A6,-0.20101,1.1405,-0.23419,0.79466,-41.678000000000004,-1.5401,-0.20101,-0.12318,7.223,-0.14049,-0.045718,-0.17625,-0.027829000000000003,-0.20101,-2070.9,-0.17625,0.87682,-0.20101,-0.027829000000000003,21.413,>100%,-0.053154999999999994,-0.027829000000000003,-0.48515,-1.1403,-0.17625,-0.34229,-2.4992,1.9514,0.1579,-0.027829000000000003,57.341,6.3654,6.3654,-0.036715,7.223,,-0.14049,-0.005083,0.16005,-0.7152,-0.007359,30-60 days,15.161,-0.47436999999999996,0.42311000000000004,21.305,-0.053154999999999994,-0.007359,0.79466,1.1405,0.1571,-1.4992,-1.4992,negative,-0.005083,1.4308,1.0278,0.0,17.046,24.075,57.632,6.3333,77.081,0
A7,0.094373,0.24853000000000003,0.67985,3.7355,156.55,0.0,0.12487000000000001,3.0236,1.3106,0.75147,0.15742,0.50244,0.095275,0.12487000000000001,726.46,0.50244,4.0236,0.12487000000000001,0.095275,50.059,>100%,0.14545,0.072005,0.72123,0.6491600000000001,0.37972,4.4681,9.4928,2.6891,-0.3053,0.095335,79.42699999999999,4.5954,4.5954,0.16854,1.3106,,0.75147,0.12859,2.6239,0.05695700000000001,0.11098,60-120 days,26.877,0.5250199999999999,3.0122,57.446000000000005,0.14545,0.11098,3.7355,0.24853000000000003,0.21761,10.493,10.493,0 to 500,0.12859,0.12559,0.90613,0.0,7.2914,13.58,69.214,5.2735,18.301,0
A8,0.18278,0.36124,0.60301,3.4945,55.11600000000001,0.0,0.18278,1.7683,2.858,0.63876,0.18278,0.75612,0.070899,0.18278,650.71,0.56092,2.7683,0.18278,0.063955,31.963,>100%,0.0,0.063955,0.40436,0.47134,0.56092,0.0,3.8839,2.7517,-0.013921,0.14297,38.615,9.4522,6.3254,0.006843000000000001,2.858,4.9746,0.75826,0.0023940000000000003,1.6835,0.60675,0.0,30-60 days,23.946,0.73034,2.4592,39.978,-0.019846000000000003,-0.006944,2.3385,0.24174,0.1058,4.1142,4.8839,0 to 500,0.2005,0.28615,0.79974,0.18708,11.42,15.242,30.873,11.823,18.408,0
A9,0.090554,0.7710100000000001,0.060546,1.1199,-11.513,0.26502,0.12327,0.27960999999999997,1.0725,0.21558000000000002,0.12327,0.24401,0.055156,0.12327,1875.4,0.19463,1.297,0.12327,0.045309,0.87749,>100%,0.18559,0.033283999999999994,0.33789,0.21558000000000002,0.15219000000000002,0.7316199999999999,0.13942000000000002,4.3536,0.2297,0.045309,72.69,5.0213,0.24070999999999998,0.18559,2.7274,2.1036,0.4814,0.068215,0.55494,0.11935,0.068215,30-60 days,37.409,13.845,1.1069,0.9411299999999999,0.1588,0.058368,0.73375,0.5051800000000001,0.19915,0.49641,1.1085,500 to 2000,0.06762,0.42005,0.93238,1.2331,415.96,9.7569,67.775,5.3855,6.2648,0
A11,0.061997000000000003,0.36053,0.31004,2.7259,12.600999999999999,0.0,0.071758,1.7737,1.7052,0.63947,0.083926,0.39946,0.06663,0.071758,1158.2,0.31514000000000003,2.7737,0.071758,0.042082,53.142,>100%,0.096063,0.036358,0.08565,0.60447,0.28807,7.8945,0.60754,3.3132,0.18852,0.048541,41.696999999999996,8.7537,4.3617,0.1327,1.7052,1.7827,0.77489,0.077823,0.26308000000000004,0.087132,0.056336,60-120 days,41.558,0.24971999999999997,1.3439,57.626999999999995,0.054202999999999994,0.031787,1.3582,0.17964000000000002,0.11424000000000001,1.2531,1.5184,500 to 2000,0.077823,0.09695,0.95813,0.21176,6.8683,8.7829,38.452,9.4924,3.3414,0
A12,0.19666,0.18217,0.40154,3.2043,123.2,0.0,0.19666,4.4895,1.3451,0.8178300000000001,0.19689,1.0796,0.19322,0.19666,255.84,1.4267,5.4895,0.19666,0.14620999999999998,8.2818,>100%,0.19055,0.14620999999999998,0.43388999999999994,0.81682,1.4267,825.58,0.9645799999999999,3.855,0.013929,0.14624,58.071000000000005,6.2854,6.2854,0.20009000000000002,1.3451,,0.8178300000000001,0.14876,0.9017299999999999,0.023927,0.14165999999999998,60-120 days,105.54,6.4439,3.0367,9.729,0.12730999999999998,0.094652,3.2043,0.18217,0.1591,1.9646,1.9646,above 2000,0.14876,0.24047,0.8547,0.0,44.073,3.4584,49.433,7.3838,3.2311,0
A14,-0.021644,0.72183,0.086082,1.3081,-65.043,-0.11944,-0.037795999999999996,0.36317,1.0054,0.26214,-0.037795999999999996,-0.13527999999999998,0.022854,-0.037795999999999996,16912.0,0.021582,1.3854,-0.037795999999999996,-0.055447,104.12,>100%,0.00381,-0.031751,-0.1467,0.26214,0.043959,0.056185,0.13566,4.7752,1.035,-0.055447,150.4,2.4268,0.005278,0.00381,0.68634,0.38655,0.70458,0.005589,0.074326,0.415,0.005589,120-240 days,80.456,-0.1113,0.61212,104.68,-0.049565,-0.072712,0.50632,0.27939,0.41207,0.41313999999999995,1.1104,above 2000,0.005329,-0.082563,0.99467,1.6877,3.5055,4.5366,149.6,2.4398,1.0743,0
A17,-0.11233,0.95821,-0.12157000000000001,0.81937,-61.041000000000004,-0.029304000000000004,-0.11233,0.043611000000000004,2.1426,0.041788,-0.05411900000000001,-0.1669,0.008918,-0.11233,18303.0,0.019941999999999998,1.0436,-0.11233,-0.052428,40.824,90%-100%,-0.054284000000000006,-0.052428,-0.14164000000000002,-0.14164000000000002,0.019941999999999998,-0.9325100000000001,-0.27104,3.3386,0.4472100000000001,-0.032491,108.62,3.3605,2.3604,-0.11913,2.1426,2.8947,0.14951,-0.055598,4.1e-05,0.41397,-0.025336,60-120 days,53.117,-0.46875,0.46331999999999995,38.673,-0.18572,-0.08668200000000001,0.57552,0.67304,0.29758,0.093167,0.33334,negative,-0.055598,-2.6881,1.0509,2.5779,8.9409,6.8717,114.65,3.1835,4.7769,0
